prot_tag,prot_id,product,Product_unified,start_stop,size,accession,name,cluster*,origin*
MS_045,YP_008239701.1,hypothetical protein,hypothetical protein,[38254:38371](-),38,NC_021776.1,"Vibrio phage vpms1, complete genome",7,7
pVco5_114,ARM71103.1,hypothetical protein,hypothetical protein,[59586:61761](-),724,KY612839.1,"Vibrio phage pVco-5, complete genome",7,7
M612_gp47,YP_008126819.1,hypothetical protein,hypothetical protein,[47762:49871](-),702,NC_021540.1,"Vibrio phage JA-1, complete genome",7,7
APD18046.1,APD18046.1,hypothetical protein,hypothetical protein,[18759:20868](+),702,KY065148.1,"Vibrio phage JSF3, complete genome",7,7
VPMG_00081,YP_007676571.1,hypothetical protein,hypothetical protein,[42326:44351](+),674,NC_020868.1,Vibrio phage VBP32 genomic sequence,7,7
vBVspPpVa5_0022,APC46025.1,N4 gp53 protein,hypothetical protein,[20835:22710](+),624,KX889068.2,"Vibrio phage pVa5, complete genome",7,7
VP3_0043,AFH14443.1,internal virion protein D,internal virion protein D,[29859:33234](+),1124,JQ780163.1,"Vibrio phage VP3, complete genome",8,8
VPMG_00059,YP_007676549.1,hypothetical protein,internal virion protein D,[21732:21909](+),58,NC_020868.1,Vibrio phage VBP32 genomic sequence,8,8
ViPhICP3_gp46,YP_004251289.1,internal virion protein D,internal virion protein D,[30033:33417](+),1127,NC_015159.1,"Vibrio phage ICP3, complete genome",8,8
ASU01174.1,ASU01174.1,protein inside capsid D,internal virion protein D,[34832:38216](+),1127,MF574151.1,"Vibrio phage JSF25, complete genome",8,8
VVP4_p27,YP_249595.1,internal virion protein D,internal virion protein D,[29861:33236](+),1124,NC_007149.1,"Vibriophage VP4, complete genome",8,8
VN4_39,YP_003347939.1,internal virion protein D,internal virion protein D,[29426:32810](+),1127,NC_013651.1,"Vibrio phage N4, complete genome",8,8
pVco5_048,ARM71036.1,hypothetical protein,internal virion protein D,[10706:10823](+),38,KY612839.1,"Vibrio phage pVco-5, complete genome",8,8
VPR_035,AUG88399.1,hypothetical protein,internal virion protein D,[13223:13682](-),152,MG603697.1,"Vibrio phage Vp_R1, complete genome",8,8
TU18-RWS_00200,ADX87532.1,internal virion protein D,internal virion protein D,[29913:33297](+),1127,HQ641341.1,"Vibrio phage ICP3_2009_B, complete genome",8,8
ViPhICP3_gp37,YP_004251280.1,head-to-tail joining protein,head-to-tail joining protein,[19131:20730](+),532,NC_015159.1,"Vibrio phage ICP3, complete genome",11,11
TU18-RWS_00155,ADX87523.1,head-to-tail joining protein,head-to-tail joining protein,[19008:20607](+),532,HQ641341.1,"Vibrio phage ICP3_2009_B, complete genome",11,11
PV_005,AHN84656.1,head-tail connector,head-to-tail joining protein,[1689:3315](+),541,KJ502657.1,"Vibrio phage Vc1, complete genome",11,11
APD18162.1,APD18162.1,collar,head-to-tail joining protein,[37509:39084](-),524,KY065149.1,"Vibrio phage JSF7, complete genome",11,11
AHC94066.1,AHC94066.1,head portal protein,head-to-tail joining protein,[21230:22859](+),542,KF800937.1,"Vibrio phage AS51, complete genome",11,11
VPP93_gp27,YP_002875651.1,putative head-tail connector protein,head-to-tail joining protein,[20554:22087](+),510,NC_012662.1,"Vibrio phage VP93, complete genome",11,11
QD07_43,APU00180.1,head to tail connecting protein,head-to-tail joining protein,[31536:33165](+),542,KY290756.1,"Vibrio phage Vp670, complete genome",11,11
ASU01165.1,ASU01165.1,collar / head-to-tail joining protein,head-to-tail joining protein,[23931:25530](+),532,MF574151.1,"Vibrio phage JSF25, complete genome",11,11
VVP4_p17,YP_249587.1,Head-to-tail joining protein,head-to-tail joining protein,[18975:20574](+),532,NC_007149.1,"Vibriophage VP4, complete genome",11,11
VP5_gp18,YP_024981.1,structural protein,structural protein,[17007:19356](+),782,NC_005891.1,"Vibrio phage VP5, complete genome",12,12
H1_0019,AIZ01466.1,hypothetical protein,structural protein,[17014:19363](+),782,KM612261.1,"Vibrio phage H1, complete genome",12,12
ACQ41_gp19,YP_009153045.1,hypothetical protein,structural protein,[17009:19358](+),782,NC_027397.1,"Vibrio phage QH, complete genome",12,12
I904_gp06,YP_007518348.1,phage tail collar protein,structural protein,[13349:14042](-),230,NC_020488.1,"Vibrio phage VvAW1, complete genome",12,12
phiVC8_p19,YP_009140148.1,structural protein,structural protein,[16603:18952](+),782,NC_027118.1,"Vibrio phage phiVC8, complete genome",12,12
VP2p19,YP_024423.1,structural protein,structural protein,[17011:19360](+),782,NC_005879.1,"Vibrio phage VP2, complete genome",12,12
H1_0015,AIZ01462.1,hypothetical protein,hypothetical protein,[11565:13350](+),594,KM612261.1,"Vibrio phage H1, complete genome",13,13
VpV262p26,NP_640287.1,hypothetical protein,hypothetical protein,[14068:14353](+),94,NC_003907.2,"Vibrio phage VpV262, complete genome",13,13
VP5_gp14,YP_053016.1,hypothetical protein,hypothetical protein,[11567:13352](+),594,NC_005891.1,"Vibrio phage VP5, complete genome",13,13
ACQ41_gp15,YP_009153041.1,hypothetical protein,hypothetical protein,[11569:13354](+),594,NC_027397.1,"Vibrio phage QH, complete genome",13,13
phiVC8_p15,YP_009140144.1,structural protein,hypothetical protein,[11163:12948](+),594,NC_027118.1,"Vibrio phage phiVC8, complete genome",13,13
AVV30_gp001,YP_009198519.1,hypothetical protein,hypothetical protein,[182:389](+),68,NC_028799.1,"Vibrio phage phi 1, complete genome",13,13
VpV262p18,NP_640279.1,hypothetical protein,hypothetical protein,[8776:8950](+),57,NC_003907.2,"Vibrio phage VpV262, complete genome",13,13
VP2p15,YP_024422.1,hypothetical protein,hypothetical protein,[11562:13347](+),594,NC_005879.1,"Vibrio phage VP2, complete genome",13,13
VpV262p21,NP_640282.1,hypothetical protein,single stranded DNA-binding protein,[11944:12202](+),85,NC_003907.2,"Vibrio phage VpV262, complete genome",14,14
phiVC8_p31,YP_009140160.1,ssDNA binding protein,single stranded DNA-binding protein,[28676:29192](-),171,NC_027118.1,"Vibrio phage phiVC8, complete genome",14,14
VP2p29,YP_024430.1,putative single-stranded DNA-binding protein,single stranded DNA-binding protein,[28860:29337](-),158,NC_005879.1,"Vibrio phage VP2, complete genome",14,14
H1_0030,AIZ01477.1,single stranded DNA-binding protein,single stranded DNA-binding protein,[28864:29341](-),158,KM612261.1,"Vibrio phage H1, complete genome",14,14
I904_gp21,YP_007518363.1,single-stranded DNA-binding protein,single stranded DNA-binding protein,[25566:26091](-),174,NC_020488.1,"Vibrio phage VvAW1, complete genome",14,14
ACQ41_gp29,YP_009153055.1,single stranded DNA-binding protein,single stranded DNA-binding protein,[28708:29185](-),158,NC_027397.1,"Vibrio phage QH, complete genome",14,14
CHOED_021,YP_009021687.1,hypothetical protein,single stranded DNA-binding protein,[19508:19943](-),144,NC_023863.2,"Vibrio phage CHOED, complete genome",14,14
VP5_gp29,YP_024987.1,putative single-stranded DNA-binding protein,single stranded DNA-binding protein,[28809:29286](-),158,NC_005891.1,"Vibrio phage VP5, complete genome",14,14
VCO139_0063,AGI61890.1,portal protein,portal protein,[53438:55556](-),705,KC438283.1,"Vibrio phage VCO139, complete genome",15,15
AVV30_gp083,YP_009198601.1,portal protein,portal protein,[53681:55799](-),705,NC_028799.1,"Vibrio phage phi 1, complete genome",15,15
pVco5_120,ARM71109.1,portal protein,portal protein,[66119:68237](-),705,KY612839.1,"Vibrio phage pVco-5, complete genome",15,15
I904_gp12,YP_007518354.1,hypothetical protein,portal protein,[18879:20946](-),688,NC_020488.1,"Vibrio phage VvAW1, complete genome",15,15
VPMG_00074,YP_007676564.1,hypothetical protein,portal protein,[35242:37357](+),704,NC_020868.1,Vibrio phage VBP32 genomic sequence,15,15
VPR_109,AUG88473.1,portal protein,portal protein,[66193:68356](+),720,MG603697.1,"Vibrio phage Vp_R1, complete genome",15,15
CHOED_089,YP_009021755.1,portal protein,portal protein,[59209:61321](+),703,NC_023863.2,"Vibrio phage CHOED, complete genome",15,15
M612_gp41,YP_008126825.1,portal protein,portal protein,[53745:55863](-),705,NC_021540.1,"Vibrio phage JA-1, complete genome",15,15
vBVspPpVa5_0016,APC46023.1,N4 gp59 protein,portal protein,[14140:16276](+),711,KX889068.2,"Vibrio phage pVa5, complete genome",15,15
VpV262p42,NP_640303.1,hypothetical protein,hypothetical protein,[21312:21645](+),110,NC_003907.2,"Vibrio phage VpV262, complete genome",16,16
CJY_0022,AIZ01421.1,hypothetical protein,hypothetical protein,[21848:22166](-),105,KM612260.1,"Vibrio phage CJY, complete genome",16,16
phiVC8_p22,YP_009140151.1,hypothetical protein,hypothetical protein,[21349:21646](-),98,NC_027118.1,"Vibrio phage phiVC8, complete genome",16,16
VP5_gp21,YP_024982.1,hypothetical protein,hypothetical protein,[21793:22111](-),105,NC_005891.1,"Vibrio phage VP5, complete genome",16,16
VP2p22,YP_024426.1,hypothetical protein,hypothetical protein,[21845:22163](-),105,NC_005879.1,"Vibrio phage VP2, complete genome",16,16
MS_034,YP_008239690.1,hypothetical protein,hypothetical protein,[27057:27588](-),176,NC_021776.1,"Vibrio phage vpms1, complete genome",16,16
H1_0022,AIZ01469.1,hypothetical protein,hypothetical protein,[21848:22166](-),105,KM612261.1,"Vibrio phage H1, complete genome",16,16
VPR_107,AUG88471.1,hypothetical protein,hypothetical protein,[63668:64595](+),308,MG603697.1,"Vibrio phage Vp_R1, complete genome",18,18
VpV262p67,NP_640328.1,hypothetical protein,hypothetical protein,[44880:45126](+),81,NC_003907.2,"Vibrio phage VpV262, complete genome",18,18
vBVspPpVa5_0056,APC46040.1,hypothetical protein,hypothetical protein,[55699:56620](+),306,KX889068.2,"Vibrio phage pVa5, complete genome",18,18
CHOED_075,YP_009021741.1,hypothetical protein,hypothetical protein,[47304:47622](-),105,NC_023863.2,"Vibrio phage CHOED, complete genome",18,18
pVco5_110,ARM71099.1,hypothetical protein,hypothetical protein,[48486:48705](+),72,KY612839.1,"Vibrio phage pVco-5, complete genome",18,18
MS_014,YP_008239670.1,primase/helicase,hypothetical protein,[7782:8589](+),268,NC_021776.1,"Vibrio phage vpms1, complete genome",18,18
VPMG_00112,YP_007676602.1,hypothetical protein,hypothetical protein,[74725:75706](+),326,NC_020868.1,Vibrio phage VBP32 genomic sequence,18,18
vBVspPpVa5_0084,APC46088.1,hypothetical protein,hypothetical protein,[70220:70472](-),83,KX889068.2,"Vibrio phage pVa5, complete genome",18,18
MS_051,YP_008239707.1,hypothetical protein,hypothetical protein,[41101:41287](-),61,NC_021776.1,"Vibrio phage vpms1, complete genome",18,18
ACQ41_gp03,YP_009153029.1,terminase,terminase large subunit,[1134:2841](+),568,NC_027397.1,"Vibrio phage QH, complete genome",20,20
VP5_gp02,YP_024977.1,hypothetical protein,terminase large subunit,[1132:2839](+),568,NC_005891.1,"Vibrio phage VP5, complete genome",20,20
H1_0003,AIZ01450.1,terminase,terminase large subunit,[1136:2843](+),568,KM612261.1,"Vibrio phage H1, complete genome",20,20
MS_005,YP_008239661.1,terminase large subunit,terminase large subunit,[1591:3241](-),549,NC_021776.1,"Vibrio phage vpms1, complete genome",20,20
phiVC8_p03,YP_009140132.1,terminase large subunit,terminase large subunit,[725:2432](+),568,NC_027118.1,"Vibrio phage phiVC8, complete genome",20,20
H1_0007,AIZ01454.1,hypothetical protein,hypothetical protein,[4998:5841](+),280,KM612261.1,"Vibrio phage H1, complete genome",21,21
VP5_gp06,YP_053010.1,hypothetical protein,hypothetical protein,[4958:5837](+),292,NC_005891.1,"Vibrio phage VP5, complete genome",21,21
CJY_0007,AIZ01406.1,hypothetical protein,hypothetical protein,[4998:5841](+),280,KM612260.1,"Vibrio phage CJY, complete genome",21,21
VpV262p59,NP_640320.1,hypothetical protein,hypothetical protein,[39027:39294](-),88,NC_003907.2,"Vibrio phage VpV262, complete genome",21,21
VPR_068,AUG88432.1,hypothetical protein,hypothetical protein,[29641:30733](-),363,MG603697.1,"Vibrio phage Vp_R1, complete genome",21,21
phiVC8_p07,YP_009140136.1,hypothetical protein,hypothetical protein,[4551:5439](+),295,NC_027118.1,"Vibrio phage phiVC8, complete genome",21,21
ViPhICP3_gp18,YP_004251261.1,DNA primase/helicase,DNA primase/helicase,[8646:10353](+),568,NC_015159.1,"Vibrio phage ICP3, complete genome",23,23
ASU01146.1,ASU01146.1,primase/helicase protein,DNA primase/helicase,[13431:15153](+),573,MF574151.1,"Vibrio phage JSF25, complete genome",23,23
TU18-21_00070,ADX87601.1,DNA primase/helicase,DNA primase/helicase,[8639:10346](+),568,HQ641343.1,"Vibrio phage ICP3_2008_A, complete genome",23,23
PV_030,AHN84681.1,DNA helicase,DNA primase/helicase,[31989:34104](+),704,KJ502657.1,"Vibrio phage Vc1, complete genome",23,23
VN4_12,YP_003347912.1,DNA primase/helicase,DNA primase/helicase,[7896:9603](+),568,NC_013651.1,"Vibrio phage N4, complete genome",23,23
CHOED_042,YP_009021708.1,DNA primase,DNA primase/helicase,[31490:33218](-),575,NC_023863.2,"Vibrio phage CHOED, complete genome",23,23
AHC94052.1,AHC94052.1,DNA primase,DNA primase/helicase,[6994:9091](+),698,KF800937.1,"Vibrio phage AS51, complete genome",23,23
VP3_0015,AFH14415.1,DNA primase/helicase,DNA primase/helicase,[8483:10208](+),574,JQ780163.1,"Vibrio phage VP3, complete genome",23,23
QD07_23,APU00160.1,hydrolase/topoisomerase-primase,DNA primase/helicase,[17579:19676](+),698,KY290756.1,"Vibrio phage Vp670, complete genome",23,23
VPR_051,AUG88415.1,DNA primase/helicase,DNA primase/helicase,[20010:21801](-),596,MG603697.1,"Vibrio phage Vp_R1, complete genome",23,23
H1_0017,AIZ01464.1,hypothetical protein,hypothetical protein,[13756:15841](+),694,KM612261.1,"Vibrio phage H1, complete genome",24,24
VP2p17,YP_052985.1,hypothetical protein,hypothetical protein,[13753:15838](+),694,NC_005879.1,"Vibrio phage VP2, complete genome",24,24
ACQ41_gp17,YP_009153043.1,hypothetical protein,hypothetical protein,[13751:15836](+),694,NC_027397.1,"Vibrio phage QH, complete genome",24,24
VPR_124,AUG88488.1,hypothetical protein,hypothetical protein,[84921:86718](+),598,MG603697.1,"Vibrio phage Vp_R1, complete genome",24,24
phiVC8_p17,YP_009140146.1,structural protein,hypothetical protein,[13345:15430](+),694,NC_027118.1,"Vibrio phage phiVC8, complete genome",24,24
VP5_gp16,YP_053018.1,hypothetical protein,hypothetical protein,[13749:15834](+),694,NC_005891.1,"Vibrio phage VP5, complete genome",24,24
vBVspPpVa5_0088,APC46095.1,hypothetical protein,hypothetical protein,[71109:71349](-),79,KX889068.2,"Vibrio phage pVa5, complete genome",24,24
CHOED_07,YP_009021673.1,hypothetical protein,hypothetical protein,[5855:6065](+),69,NC_023863.2,"Vibrio phage CHOED, complete genome",25,25
VP2p37,YP_052996.1,hypothetical protein,hypothetical protein,[34997:35624](-),208,NC_005879.1,"Vibrio phage VP2, complete genome",25,25
H1_0039,AIZ01486.1,hypothetical protein,hypothetical protein,[34807:35578](-),256,KM612261.1,"Vibrio phage H1, complete genome",25,25
phiVC8_p40,YP_009140169.1,hypothetical protein,hypothetical protein,[34620:35421](-),266,NC_027118.1,"Vibrio phage phiVC8, complete genome",25,25
VP5_gp38,YP_053032.1,hypothetical protein,hypothetical protein,[34770:35175](-),134,NC_005891.1,"Vibrio phage VP5, complete genome",25,25
ACQ41_gp38,YP_009153064.1,hypothetical protein,hypothetical protein,[34686:35457](-),256,NC_027397.1,"Vibrio phage QH, complete genome",25,25
VP5_gp39,YP_053033.1,hypothetical protein,hypothetical protein,[35170:35572](-),133,NC_005891.1,"Vibrio phage VP5, complete genome",25,25
VP5_gp43,YP_053037.1,hypothetical protein,hypothetical protein,[36849:36966](-),38,NC_005891.1,"Vibrio phage VP5, complete genome",26,26
I904_gp14,YP_007518356.1,terminase small subunit,hypothetical protein,[22577:23201](-),207,NC_020488.1,"Vibrio phage VvAW1, complete genome",26,26
phiVC8_p43,YP_009140172.1,hypothetical protein,hypothetical protein,[36542:36836](-),97,NC_027118.1,"Vibrio phage phiVC8, complete genome",26,26
VP2p42,YP_053001.1,hypothetical protein,hypothetical protein,[37406:37709](-),100,NC_005879.1,"Vibrio phage VP2, complete genome",26,26
H1_0044,AIZ01491.1,hypothetical protein,hypothetical protein,[37351:37576](-),74,KM612261.1,"Vibrio phage H1, complete genome",26,26
VCO139_0070,AGI61896.1,hypothetical protein,hypothetical protein,[63682:63820](+),45,KC438283.1,"Vibrio phage VCO139, complete genome",27,27
pVco5_013,ARM71001.1,hypothetical protein,hypothetical protein,[3400:3538](+),45,KY612839.1,"Vibrio phage pVco-5, complete genome",27,27
pVco5_022,ARM71010.1,hypothetical protein,hypothetical protein,[4576:4720](+),47,KY612839.1,"Vibrio phage pVco-5, complete genome",27,27
M612_gp33,YP_008126833.1,hypothetical protein,hypothetical protein,[64449:64632](+),60,NC_021540.1,"Vibrio phage JA-1, complete genome",27,27
APD18032.1,APD18032.1,hypothetical protein,hypothetical protein,[4506:4641](-),44,KY065148.1,"Vibrio phage JSF3, complete genome",27,27
M612_gp34,YP_008126832.1,hypothetical protein,hypothetical protein,[63989:64127](+),45,NC_021540.1,"Vibrio phage JA-1, complete genome",27,27
AVV30_gp091,YP_009198609.1,hypothetical protein,hypothetical protein,[62178:62310](+),43,NC_028799.1,"Vibrio phage phi 1, complete genome",27,27
pVco5_020,ARM71008.1,hypothetical protein,hypothetical protein,[4304:4469](+),54,KY612839.1,"Vibrio phage pVco-5, complete genome",27,27
APD18031.1,APD18031.1,hypothetical protein,hypothetical protein,[4252:4396](-),47,KY065148.1,"Vibrio phage JSF3, complete genome",27,27
CHOED_055,YP_009021721.1,hypothetical protein,hypothetical protein,[36997:37336](-),112,NC_023863.2,"Vibrio phage CHOED, complete genome",27,27
AVV30_gp092,YP_009198610.1,hypothetical protein,hypothetical protein,[62296:62434](+),45,NC_028799.1,"Vibrio phage phi 1, complete genome",27,27
AVV30_gp093,YP_009198611.1,hypothetical protein,hypothetical protein,[62420:62564](+),47,NC_028799.1,"Vibrio phage phi 1, complete genome",27,27
pVco5_023,ARM71011.1,hypothetical protein,hypothetical protein,[4706:4862](+),51,KY612839.1,"Vibrio phage pVco-5, complete genome",27,<5HMMmrg
PV_019,AHN84670.1,hypothetical protein,hypothetical protein,[22169:23918](+),582,KJ502657.1,"Vibrio phage Vc1, complete genome",30,30
VPR_040,AUG88404.1,nicotinamide phosphoribosyltransferase,hypothetical protein,[15324:16890](-),521,MG603697.1,"Vibrio phage Vp_R1, complete genome",30,30
vBVspPpVa5_0007,APC46030.1,hypothetical protein,hypothetical protein,[5603:7097](+),497,KX889068.2,"Vibrio phage pVa5, complete genome",30,30
AHC94077.1,AHC94077.1,hypothetical protein,hypothetical protein,[38778:40455](+),558,KF800937.1,"Vibrio phage AS51, complete genome",30,30
AHC94075.1,AHC94075.1,small terminase-like protein,hypothetical protein,[35886:36231](+),114,KF800937.1,"Vibrio phage AS51, complete genome",30,<5
QD07_4,APU00141.1,small terminase subunit,hypothetical protein,[5399:5744](+),114,KY290756.1,"Vibrio phage Vp670, complete genome",30,<5
RJ80_gp38,YP_009110750.1,small terminase subunit-like protein,hypothetical protein,[35888:36233](+),114,NC_025822.1,"Vibrio phage phi-A318, complete genome",30,<5
ACQ41_gp40,YP_009153066.1,hypothetical protein,hypothetical protein,[36050:36557](-),168,NC_027397.1,"Vibrio phage QH, complete genome",31,31
pVco5_004,ARM70992.1,hypothetical protein,hypothetical protein,[1202:1838](+),211,KY612839.1,"Vibrio phage pVco-5, complete genome",31,31
VP2p39,YP_052998.1,hypothetical protein,hypothetical protein,[36427:36859](-),143,NC_005879.1,"Vibrio phage VP2, complete genome",31,31
phiVC8_p42,YP_009140171.1,hypothetical protein,hypothetical protein,[35984:36437](-),150,NC_027118.1,"Vibrio phage phiVC8, complete genome",31,31
H1_0041,AIZ01488.1,hypothetical protein,hypothetical protein,[36171:36621](-),149,KM612261.1,"Vibrio phage H1, complete genome",31,31
VP5_gp42,YP_053036.1,hypothetical protein,hypothetical protein,[36374:36794](-),139,NC_005891.1,"Vibrio phage VP5, complete genome",31,31
VP5_gp03,YP_024978.1,hypothetical protein,head to tail connecting protein,[2849:4493](+),547,NC_005891.1,"Vibrio phage VP5, complete genome",32,32
ACQ42_gp04,YP_009152755.1,hypothetical protein,head to tail connecting protein,[2853:4497](+),547,NC_027393.1,"Vibrio phage J2, complete genome",32,32
ACQ41_gp04,YP_009153030.1,hypothetical protein,head to tail connecting protein,[2851:4495](+),547,NC_027397.1,"Vibrio phage QH, complete genome",32,32
phiVC8_p04,YP_009140133.1,head to tail connecting protein,head to tail connecting protein,[2442:4086](+),547,NC_027118.1,"Vibrio phage phiVC8, complete genome",32,32
H1_0004,AIZ01451.1,hypothetical protein,head to tail connecting protein,[2853:4497](+),547,KM612261.1,"Vibrio phage H1, complete genome",32,32
ACQ41_gp14,YP_009153040.1,major tail subunit,major tail subunit,[9329:11561](+),743,NC_027397.1,"Vibrio phage QH, complete genome",33,33
VPR_017,AUG88381.1,hypothetical protein,major tail subunit,[7337:7814](-),158,MG603697.1,"Vibrio phage Vp_R1, complete genome",33,33
VP2p14,YP_024421.1,hypothetical protein,major tail subunit,[9328:11554](+),741,NC_005879.1,"Vibrio phage VP2, complete genome",33,33
phiVC8_p14,YP_009140143.1,tail protein,major tail subunit,[8929:11155](+),741,NC_027118.1,"Vibrio phage phiVC8, complete genome",33,33
VP5_gp13,YP_024980.1,major tail subunit,major tail subunit,[9327:11559](+),743,NC_005891.1,"Vibrio phage VP5, complete genome",33,33
H1_0014,AIZ01461.1,hypothetical protein,major tail subunit,[9331:11557](+),741,KM612261.1,"Vibrio phage H1, complete genome",33,33
phiVC8_p16,YP_009140145.1,hypothetical protein,hypothetical protein,[12950:13349](+),132,NC_027118.1,"Vibrio phage phiVC8, complete genome",35,35
VP2p16,YP_052984.1,hypothetical protein,hypothetical protein,[13352:13757](+),134,NC_005879.1,"Vibrio phage VP2, complete genome",35,35
H1_0016,AIZ01463.1,hypothetical protein,hypothetical protein,[13355:13760](+),134,KM612261.1,"Vibrio phage H1, complete genome",35,35
ACQ41_gp16,YP_009153042.1,hypothetical protein,hypothetical protein,[13356:13755](+),132,NC_027397.1,"Vibrio phage QH, complete genome",35,35
VP5_gp15,YP_053017.1,hypothetical protein,hypothetical protein,[13354:13753](+),132,NC_005891.1,"Vibrio phage VP5, complete genome",35,35
CHOED_06,YP_009021672.1,dimodular nonribosomal peptide synthetase,lysozyme,[4293:5853](+),519,NC_023863.2,"Vibrio phage CHOED, complete genome",36,36
VPR_058,AUG88422.1,hypothetical protein,lysozyme,[23756:23996](-),79,MG603697.1,"Vibrio phage Vp_R1, complete genome",36,36
MS_050,YP_008239706.1,hypothetical protein,lysozyme,[40489:41053](-),187,NC_021776.1,"Vibrio phage vpms1, complete genome",36,36
ViPhICP3_gp32,YP_004251275.1,lysozyme,lysozyme,[17262:17697](+),144,NC_015159.1,"Vibrio phage ICP3, complete genome",36,36
TU18-20_00130,ADX87661.1,lysozyme,lysozyme,[17156:17591](+),144,HQ641344.1,"Vibrio phage ICP3_2007_A, complete genome",36,36
