prot_tag,prot_id,product,Product_unified,start_stop,size,accession,name,cluster*,origin*
CF80_gp283,YP_009006357.1,head vertex protein,major capsid protein,[215893:216793](+),299,NC_023568.1,"Vibrio phage VH7D, complete genome",289-446,289-446
KVP40.0017,NP_899265.1,hypothetical protein,hypothetical protein,[11574:12420](+),281,NC_005083.2,"Vibrio phage KVP40, complete genome",298,298
CF80_gp237,YP_009006311.1,hypothetical protein,hypothetical protein,[190884:191730](+),281,NC_023568.1,"Vibrio phage VH7D, complete genome",298,298
pp2_017,AFN37251.1,hypothetical protein,hypothetical protein,[11660:12416](+),251,JN849462.1,"Vibriophage phi-pp2, complete genome",298,298
ASR73873.1,ASR73873.1,portal protein,hypothetical protein,[43679:45821](-),713,MF431726.1,"Vibrio phage vB_ValP_IME271, complete genome",298,298
VPFG_00066,YP_008125218.1,hypothetical protein,hypothetical protein,[176327:177173](+),281,NC_021529.2,"Vibrio phage nt-1, complete genome",298,298
pp2_376,AFN37608.1,hypothetical protein,hypothetical protein,[236637:236844](-),68,JN849462.1,"Vibriophage phi-pp2, complete genome",407,407
VPCG_00031,YP_007877532.1,hypothetical protein,hypothetical protein,[23131:23554](-),140,NC_021070.1,Vibrio phage martha 12B12 genomic sequence,407,407
KVP40.0377,NP_899622.1,hypothetical protein,hypothetical protein,[235049:235256](-),68,NC_005083.2,"Vibrio phage KVP40, complete genome",407,407
VPFG_00040,YP_008125194.2,hypothetical protein,hypothetical protein,[154525:154813](-),95,NC_021529.2,"Vibrio phage nt-1, complete genome",407,407
AVU32_gp270,YP_009201373.1,hypothetical protein,hypothetical protein,[143937:144147](+),69,NC_028829.1,"Vibrio phage ValKK3, complete genome",407,407
pp2_013,AFN37247.1,hypothetical protein,hypothetical protein,[9536:9956](+),139,JN849462.1,"Vibriophage phi-pp2, complete genome",436,436
CF80_gp233,YP_009006307.1,hypothetical protein,hypothetical protein,[188815:189232](+),138,NC_023568.1,"Vibrio phage VH7D, complete genome",436,436
VPFG_00060,YP_008125212.1,hypothetical protein,hypothetical protein,[173865:174288](+),140,NC_021529.2,"Vibrio phage nt-1, complete genome",436,436
KVP40.0013,NP_899261.1,hypothetical protein,hypothetical protein,[9540:9960](+),139,NC_005083.2,"Vibrio phage KVP40, complete genome",436,436
AVU32_gp249,YP_009201352.1,hypothetical protein,hypothetical protein,[124465:124882](-),138,NC_028829.1,"Vibrio phage ValKK3, complete genome",436,436
phiST2_0016,ALP47495.1,hypothetical protein,hypothetical protein,[8126:8612](+),161,KT919973.1,"Vibrio phage phi-ST2, complete genome",522,522
VPFG_00193,YP_008125342.1,cAMP-dependent Kef-type K+ transporter,potassium voltage-gated channel subfamily A member 1 protein,[3505:4192](+),228,NC_021529.2,"Vibrio phage nt-1, complete genome",522,522
CF80_gp035,YP_009006109.1,potassium voltage-gated channel subfamily A member 1 protein,potassium voltage-gated channel subfamily A member 1 protein,[20295:20919](+),207,NC_023568.1,"Vibrio phage VH7D, complete genome",522,522
pp2_144,AFN37377.1,putative potassium channel protein,potassium voltage-gated channel subfamily A member 1 protein,[86693:87380](+),228,JN849462.1,"Vibriophage phi-pp2, complete genome",522,522
phiGrn1_0258,ALP47069.1,cAMP-dependent Kef-type K+ transport system,potassium voltage-gated channel subfamily A member 1 protein,[194564:195167](+),200,KT919972.1,"Vibrio phage phi-Grn1, complete genome",522,522
AVU32_gp114,YP_009201217.1,potassium voltage-gated channel subfamily A member 1 protein,potassium voltage-gated channel subfamily A member 1 protein,[45960:46644](-),227,NC_028829.1,"Vibrio phage ValKK3, complete genome",522,522
KVP40.0117,NP_899365.1,hypothetical protein,hypothetical protein,[68462:68762](+),99,NC_005083.2,"Vibrio phage KVP40, complete genome",403,403
VPFG_00166,YP_008125317.1,hypothetical protein,hypothetical protein,[234680:234980](+),99,NC_021529.2,"Vibrio phage nt-1, complete genome",403,403
phiGrn1_0229,ALP47207.1,hypothetical protein,hypothetical protein,[177386:177686](+),99,KT919972.1,"Vibrio phage phi-Grn1, complete genome",403,403
AVU32_gp143,YP_009201246.1,hypothetical protein,hypothetical protein,[63424:63724](-),99,NC_028829.1,"Vibrio phage ValKK3, complete genome",403,403
CF80_gp007,YP_009006081.1,hypothetical protein,hypothetical protein,[3132:3432](+),99,NC_023568.1,"Vibrio phage VH7D, complete genome",403,403
KVP40.0035,NP_899283.1,hypothetical protein,hypothetical protein,[19771:20092](+),106,NC_005083.2,"Vibrio phage KVP40, complete genome",493,493
VPFG_00082,YP_008125233.1,hypothetical protein,hypothetical protein,[184266:184590](+),107,NC_021529.2,"Vibrio phage nt-1, complete genome",493,493
CF80_gp255,YP_009006329.1,hypothetical protein,hypothetical protein,[199172:199499](+),108,NC_023568.1,"Vibrio phage VH7D, complete genome",493,493
phiST2_0280,ALP47580.1,hypothetical protein,hypothetical protein,[187287:187605](+),105,KT919973.1,"Vibrio phage phi-ST2, complete genome",493,493
AVU32_gp226,YP_009201329.1,hypothetical protein,hypothetical protein,[113492:113813](-),106,NC_028829.1,"Vibrio phage ValKK3, complete genome",493,493
phiGrn1_0150,ALP47189.1,hypothetical protein,hypothetical protein,[127763:128084](+),106,KT919972.1,"Vibrio phage phi-Grn1, complete genome",493,493
KVP40.0226,NP_899472.1,hypothetical protein,hypothetical protein,[119177:119345](+),55,NC_005083.2,"Vibrio phage KVP40, complete genome",495,495
phiST2_0104,ALP47699.1,hypothetical protein,hypothetical protein,[47126:47297](+),56,KT919973.1,"Vibrio phage phi-ST2, complete genome",495,495
CF80_gp126,YP_009006200.1,hypothetical protein,hypothetical protein,[59821:59992](+),56,NC_023568.1,"Vibrio phage VH7D, complete genome",495,495
YP_009046836.1,YP_009046836.1,hypothetical protein,hypothetical protein,[42423:42597](+),57,NC_021529.2,"Vibrio phage nt-1, complete genome",495,495
VPHG_00182,YP_007673664.1,hypothetical protein,hypothetical protein,[116509:116737](-),75,NC_020843.1,Vibrio phage 11895-B1 genomic sequence,495,495
phiGrn1_0247,ALP47092.1,hypothetical protein,hypothetical protein,[188250:188778](+),175,KT919972.1,"Vibrio phage phi-Grn1, complete genome",568,568
pp2_134,AFN37367.1,hypothetical protein,hypothetical protein,[80740:81268](+),175,JN849462.1,"Vibriophage phi-pp2, complete genome",568,568
VPFG_00185,YP_008125334.1,hypothetical protein,hypothetical protein,[245332:245857](+),174,NC_021529.2,"Vibrio phage nt-1, complete genome",568,568
CF80_gp024,YP_009006098.1,hypothetical protein,hypothetical protein,[13984:14518](+),177,NC_023568.1,"Vibrio phage VH7D, complete genome",568,568
AVU32_gp125,YP_009201228.1,hypothetical protein,hypothetical protein,[52339:52867](-),175,NC_028829.1,"Vibrio phage ValKK3, complete genome",568,568
AVU32_gp163,YP_009201266.1,hypothetical protein,hypothetical protein,[74075:75527](-),483,NC_028829.1,"Vibrio phage ValKK3, complete genome",62,62
VPFG_00145,YP_008125296.1,hypothetical protein,hypothetical protein,[223592:225257](+),554,NC_021529.2,"Vibrio phage nt-1, complete genome",62,62
CF80_gp317,YP_009006391.1,hypothetical protein,hypothetical protein,[238846:240298](+),483,NC_023568.1,"Vibrio phage VH7D, complete genome",62,62
VPFG_00363,YP_008125509.1,hypothetical protein,hypothetical protein,[92115:92427](-),103,NC_021529.2,"Vibrio phage nt-1, complete genome",62,62
KVP40.0097,NP_899345.1,hypothetical protein,hypothetical protein,[58232:59687](+),484,NC_005083.2,"Vibrio phage KVP40, complete genome",62,62
phiST2_0344,ALP47364.1,hypothetical protein,hypothetical protein,[226952:228404](+),483,KT919973.1,"Vibrio phage phi-ST2, complete genome",62,62
AKU42609.1,AKU42609.1,hypothetical protein,hypothetical protein,[17188:17587](-),132,KT160311.1,"Vibrio phage H188, complete genome",62,62
pp2_094,AFN37327.1,hypothetical protein,hypothetical protein,[58866:60321](+),484,JN849462.1,"Vibriophage phi-pp2, complete genome",62,62
phiGrn1_0211,ALP46981.1,hypothetical protein,hypothetical protein,[165809:167261](+),483,KT919972.1,"Vibrio phage phi-Grn1, complete genome",62,62
VPHG_00143,YP_007673627.1,hypothetical protein,Ser/Thr protein phosphatase family protein,[94607:95021](+),137,NC_020843.1,Vibrio phage 11895-B1 genomic sequence,219,219
pp2_049,AFN37283.1,Ser/Thr protein phosphatase family protein,Ser/Thr protein phosphatase family protein,[27349:28078](+),242,JN849462.1,"Vibriophage phi-pp2, complete genome",219,219
AKU42640.1,AKU42640.1,YopX protein,Ser/Thr protein phosphatase family protein,[40252:40663](+),136,KT160311.1,"Vibrio phage H188, complete genome",219,219
VPFG_00098,YP_008125249.1,metallophosphoesterase,Ser/Thr protein phosphatase family protein,[192093:192822](+),242,NC_021529.2,"Vibrio phage nt-1, complete genome",219,219
CF80_gp270,YP_009006344.1,hypothetical protein,Ser/Thr protein phosphatase family protein,[206764:207493](+),242,NC_023568.1,"Vibrio phage VH7D, complete genome",219,219
KVP40.0051,NP_899299.1,hypothetical protein,Ser/Thr protein phosphatase family protein,[27353:28082](+),242,NC_005083.2,"Vibrio phage KVP40, complete genome",219,219
pp2_078,AFN37311.1,translational repressor of early genes,RegA translational repressor protein,[48472:48853](+),126,JN849462.1,"Vibriophage phi-pp2, complete genome",452,452
CF80_gp300,YP_009006374.1,translation repressor protein,RegA translational repressor protein,[228681:229065](+),127,NC_023568.1,"Vibrio phage VH7D, complete genome",452,452
VPFG_00127,YP_008125278.1,RegA translational repressor protein,RegA translational repressor protein,[213462:213843](+),126,NC_021529.2,"Vibrio phage nt-1, complete genome",452,452
KVP40.0080,NP_899328.1,translation repressor protein,RegA translational repressor protein,[48471:48852](+),126,NC_005083.2,"Vibrio phage KVP40, complete genome",452,452
AVU32_gp180,YP_009201283.1,RegA,RegA translational repressor protein,[84941:85322](-),126,NC_028829.1,"Vibrio phage ValKK3, complete genome",452,452
KVP40.0372,NP_899617.1,hypothetical protein,hypothetical protein,[232373:232967](-),197,NC_005083.2,"Vibrio phage KVP40, complete genome",538,538
VPFG_00036,YP_008125190.1,hypothetical protein,hypothetical protein,[152573:153164](-),196,NC_021529.2,"Vibrio phage nt-1, complete genome",538,538
AVU32_gp275,YP_009201378.1,hypothetical protein,hypothetical protein,[146214:146808](+),197,NC_028829.1,"Vibrio phage ValKK3, complete genome",538,538
phiST2_0235,ALP47451.1,hypothetical protein,hypothetical protein,[154545:155139](-),197,KT919973.1,"Vibrio phage phi-ST2, complete genome",538,538
phiGrn1_0104,ALP47072.1,hypothetical protein,hypothetical protein,[95565:96159](-),197,KT919972.1,"Vibrio phage phi-Grn1, complete genome",538,538
phiGrn1_0355,ALP47315.1,hypothetical protein,hypothetical protein,[236944:237124](+),59,KT919972.1,"Vibrio phage phi-Grn1, complete genome",494,494
phiST2_0110,ALP47692.1,hypothetical protein,hypothetical protein,[49421:49601](+),59,KT919973.1,"Vibrio phage phi-ST2, complete genome",494,494
CF80_gp132,YP_009006206.1,hypothetical protein,hypothetical protein,[62116:62296](+),59,NC_023568.1,"Vibrio phage VH7D, complete genome",494,494
pp2_228,AFN37461.1,hypothetical protein,hypothetical protein,[121139:121319](+),59,JN849462.1,"Vibriophage phi-pp2, complete genome",494,494
AVU32_gp012,YP_009201115.1,hypothetical protein,hypothetical protein,[4926:5106](-),59,NC_028829.1,"Vibrio phage ValKK3, complete genome",494,494
KVP40.0231,NP_899477.1,hypothetical protein,hypothetical protein,[121200:121380](+),59,NC_005083.2,"Vibrio phage KVP40, complete genome",494,494
YP_009046838.1,YP_009046838.1,hypothetical protein,hypothetical protein,[44482:44629](+),48,NC_021529.2,"Vibrio phage nt-1, complete genome",494,494
KVP40.0066,NP_899314.1,hypothetical protein,hypothetical protein,[39186:39834](+),215,NC_005083.2,"Vibrio phage KVP40, complete genome",286,286
AVU32_gp195,YP_009201298.1,hypothetical protein,hypothetical protein,[94261:94909](-),215,NC_028829.1,"Vibrio phage ValKK3, complete genome",286,286
CF80_gp286,YP_009006360.1,hypothetical protein,hypothetical protein,[218776:219424](+),215,NC_023568.1,"Vibrio phage VH7D, complete genome",286,286
pp2_064,AFN37297.1,hypothetical protein,hypothetical protein,[39181:39829](+),215,JN849462.1,"Vibriophage phi-pp2, complete genome",286,286
VPFG_00113,YP_008125264.1,hypothetical protein,hypothetical protein,[204158:204806](+),215,NC_021529.2,"Vibrio phage nt-1, complete genome",286,286
phiST2_0312,ALP47440.1,hypothetical protein,hypothetical protein,[206897:207545](+),215,KT919973.1,"Vibrio phage phi-ST2, complete genome",286,286
VPFG_00316,YP_008125463.1,hypothetical protein,hypothetical protein,[57845:58574](+),242,NC_021529.2,"Vibrio phage nt-1, complete genome",142-375,142-375
AKU42616.1,AKU42616.1,hypothetical protein,hypothetical protein,[24822:25536](-),237,KT160311.1,"Vibrio phage H188, complete genome",142-375,142-375
CF80_gp158,YP_009006232.1,hypothetical protein,hypothetical protein,[75677:76397](+),239,NC_023568.1,"Vibrio phage VH7D, complete genome",142-375,142-375
KVP40.0252,NP_899498.1,hypothetical protein,hypothetical protein,[129732:130428](+),231,NC_005083.2,"Vibrio phage KVP40, complete genome",142-375,142-375
CF80_gp150,YP_009006224.1,hypothetical protein,hypothetical protein,[69452:70154](+),233,NC_023568.1,"Vibrio phage VH7D, complete genome",142-375,142-375
AVU32_gp385,YP_009201488.1,hypothetical protein,hypothetical protein,[245160:245844](-),227,NC_028829.1,"Vibrio phage ValKK3, complete genome",142-375,142-375
pp2_266,AFN37499.1,hypothetical protein,hypothetical protein,[142746:143466](+),239,JN849462.1,"Vibriophage phi-pp2, complete genome",142-375,142-375
phiGrn1_0373,ALP47055.1,hypothetical protein,hypothetical protein,[244313:244997](+),227,KT919972.1,"Vibrio phage phi-Grn1, complete genome",142-375,142-375
phiST2_0128,ALP47431.1,hypothetical protein,hypothetical protein,[56756:57458](+),233,KT919973.1,"Vibrio phage phi-ST2, complete genome",142-375,142-375
pp2_247,AFN37480.1,hypothetical protein,hypothetical protein,[129053:129749](+),231,JN849462.1,"Vibriophage phi-pp2, complete genome",142-375,142-375
phiST2_0136,ALP47425.1,hypothetical protein,hypothetical protein,[62980:63700](+),239,KT919973.1,"Vibrio phage phi-ST2, complete genome",142-375,142-375
KVP40.0104,NP_899352.1,hypothetical protein,hypothetical protein,[63149:63845](+),231,NC_005083.2,"Vibrio phage KVP40, complete genome",273,273
AVU32_gp157,YP_009201260.1,hypothetical protein,hypothetical protein,[70198:70894](-),231,NC_028829.1,"Vibrio phage ValKK3, complete genome",273,273
CF80_gp322,YP_009006396.1,hypothetical protein,hypothetical protein,[243478:244174](+),231,NC_023568.1,"Vibrio phage VH7D, complete genome",273,273
phiST2_0350,ALP47433.1,hypothetical protein,hypothetical protein,[231585:232281](+),231,KT919973.1,"Vibrio phage phi-ST2, complete genome",273,273
pp2_100,AFN37333.1,hypothetical protein,hypothetical protein,[63781:64474](+),230,JN849462.1,"Vibriophage phi-pp2, complete genome",273,273
phiGrn1_0217,ALP47052.1,hypothetical protein,hypothetical protein,[170441:171137](+),231,KT919972.1,"Vibrio phage phi-Grn1, complete genome",273,273
VPFG_00151,YP_008125302.1,hypothetical protein,hypothetical protein,[228363:229029](+),221,NC_021529.2,"Vibrio phage nt-1, complete genome",273,273
AKU42622.1,AKU42622.1,hypothetical protein,hypothetical protein,[30364:30892](+),175,KT160311.1,"Vibrio phage H188, complete genome",273,273
phiST2_0209,ALP47388.1,baseplate wedge subunit,baseplate wedge subunit,[126314:127337](+),340,KT919973.1,"Vibrio phage phi-ST2, complete genome",454,454
VPFG_00008,YP_008125165.2,baseplate wedge subunit,baseplate wedge subunit,[122503:123535](+),343,NC_021529.2,"Vibrio phage nt-1, complete genome",454,454
pp2_343,AFN37575.1,phage baseplate wedge,baseplate wedge subunit,[203679:204702](+),340,JN849462.1,"Vibriophage phi-pp2, complete genome",454,454
phiGrn1_0077,ALP47008.1,baseplate wedge subunit,baseplate wedge subunit,[66531:67554](+),340,KT919972.1,"Vibrio phage phi-Grn1, complete genome",454,454
KVP40.0343,NP_899589.1,baseplate wedge subunit,baseplate wedge subunit,[201964:202996](+),343,NC_005083.2,"Vibrio phage KVP40, complete genome",454,454
CF80_gp197,YP_009006271.1,baseplate structural protein,baseplate wedge subunit,[138629:139652](+),340,NC_023568.1,"Vibrio phage VH7D, complete genome",454,454
AVU32_gp375,YP_009201478.1,hypothetical protein,hypothetical protein,[238035:238266](+),76,NC_028829.1,"Vibrio phage ValKK3, complete genome",566,566
phiST2_0138,ALP47661.1,hypothetical protein,hypothetical protein,[64348:64579](-),76,KT919973.1,"Vibrio phage phi-ST2, complete genome",566,566
VPFG_00321,YP_008125468.1,hypothetical protein,hypothetical protein,[61018:61288](-),89,NC_021529.2,"Vibrio phage nt-1, complete genome",566,566
phiGrn1_0006,ALP47274.1,hypothetical protein,hypothetical protein,[3370:3601](-),76,KT919972.1,"Vibrio phage phi-Grn1, complete genome",566,566
KVP40.0273,NP_899519.1,hypothetical protein,hypothetical protein,[144495:144789](-),97,NC_005083.2,"Vibrio phage KVP40, complete genome",566,566
phiST2_0151,ALP47715.1,hypothetical protein,hypothetical protein,[74099:74231](+),43,KT919973.1,"Vibrio phage phi-ST2, complete genome",304,304
CF80_gp173,YP_009006247.1,hypothetical protein,hypothetical protein,[86658:86928](+),89,NC_023568.1,"Vibrio phage VH7D, complete genome",304,304
AVU32_gp361,YP_009201464.1,hypothetical protein,hypothetical protein,[228382:228682](-),99,NC_028829.1,"Vibrio phage ValKK3, complete genome",304,304
KVP40.0287,NP_899534.1,hypothetical protein,hypothetical protein,[155116:155416](+),99,NC_005083.2,"Vibrio phage KVP40, complete genome",304,304
VPFG_00336,YP_008125482.1,hypothetical protein,hypothetical protein,[71665:71965](+),99,NC_021529.2,"Vibrio phage nt-1, complete genome",304,304
VPCG_00033,YP_007877534.1,hypothetical protein,hypothetical protein,[24107:24530](-),140,NC_021070.1,Vibrio phage martha 12B12 genomic sequence,304,304
phiST2_0355,ALP47716.1,hypothetical protein,hypothetical protein,[233662:233791](+),42,KT919973.1,"Vibrio phage phi-ST2, complete genome",586,586
CF80_gp327,YP_009006401.1,hypothetical protein,hypothetical protein,[245555:246932](+),458,NC_023568.1,"Vibrio phage VH7D, complete genome",586,586
VPFG_00156,YP_008125307.1,hypothetical protein,hypothetical protein,[230397:231753](+),451,NC_021529.2,"Vibrio phage nt-1, complete genome",586,586
AVU32_gp152,YP_009201255.1,hypothetical protein,hypothetical protein,[67440:68817](-),458,NC_028829.1,"Vibrio phage ValKK3, complete genome",586,586
